,VOLUME,VWAP,IMS,TRADES,CONC,TAM_VOLUME,TAM_VWAP,TAM_IMS,TAM_TRADES,TAM_CONC,HFA_VOLUME,HFA_VWAP,HFA_IMS,HFA_TRADES,HFA_CONC,RTW_VOLUME,RTW_VWAP,RTW_IMS,RTW_TRADES,RTW_CONC,B,S,E,F
13751,1273259,1.43,8,9,0.24,1273259.0,1.43,8.0,9.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13752,59115,99.88,4,5,0.57,59115.0,99.88,4.0,5.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13753,5785400,118.74,7,9,0.37,5785400.0,118.74,7.0,9.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
13754,153091,16.06,3,7,0.96,153091.0,16.06,3.0,7.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13755,1379,11.58,3,4,0.5,0.0,0.0,0.0,0.0,0.0,1379.0,11.58,3.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13756,799685,2.76,6,11,0.6,799685.0,2.76,6.0,11.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13757,99000,152.79,4,5,0.81,99000.0,152.79,4.0,5.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13758,20963,85.19,11,13,0.48,20963.0,85.19,11.0,13.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13759,6991,212.54,4,4,0.47,6991.0,212.54,4.0,4.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13760,544903,5.14,7,11,0.76,544903.0,5.14,7.0,11.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
